frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,1.0,,,,,,,,15.495,0.0,15.495
2,0,0,,1.0,,,,,,,,25.0785,0.0,25.0785
3,0,0,,1.0,,,,,,,,18.4697,0.0,18.4697
4,0,0,,1.0,,,,,,,,14.7737,0.0,14.7737
5,0,0,,1.0,,,,,,,,18.5122,0.0,18.5122
6,1,1,1,1.0,-0.0212908,0.0219235,1.00457,1.00504,0.004569999999999963,0.005039999999999933,,17.9442,0.0,17.9442
7,1,1,1,1.0,-0.0211737,0.0202511,1.01177,1.01219,0.011770000000000058,0.012189999999999923,,19.3086,0.0,19.3086
8,1,1,1,1.0,-0.0212642,0.0203136,1.01341,1.01383,0.013409999999999922,0.013830000000000009,,20.5375,0.0,20.5375
9,1,1,1,1.0,-0.0209968,0.0202956,1.0108,1.01122,0.01079999999999992,0.011220000000000008,,22.5287,0.0,22.5287
10,1,1,1,1.0,-0.0211488,0.0201921,1.00842,1.00884,0.008420000000000094,0.008839999999999959,,22.3477,0.0,22.3477
11,1,1,1,1.0,-0.0212488,0.020304,1.01368,1.01411,0.013679999999999914,0.014110000000000067,,24.1821,0.0,24.1821
12,1,1,1,1.0,-0.0211071,0.0202214,1.00592,1.00634,0.005919999999999925,0.006340000000000012,,23.8385,0.0,23.8385
13,1,1,1,1.0,-0.0211615,0.02025,1.01083,1.01125,0.010829999999999895,0.011249999999999982,,23.1735,0.0,23.1735
14,1,1,1,1.0,-0.0210084,0.0200668,1.0026,1.00302,0.0025999999999999357,0.0030200000000000227,,25.5764,0.0,25.5764
15,1,1,1,1.0,-0.0211017,0.0201762,1.00662,1.00704,0.00662000000000007,0.007039999999999935,,25.9137,0.0,25.9137
16,1,1,1,1.0,-0.0210345,0.0201225,1.00692,1.00734,0.006920000000000037,0.007339999999999902,,26.2975,0.0,26.2975
17,1,1,1,1.0,-0.0210793,0.0202047,1.00725,1.00768,0.007249999999999979,0.007679999999999909,,29.4284,0.0,29.4284
18,1,1,1,1.0,-0.0211237,0.0202094,1.00782,1.00825,0.007819999999999938,0.00825000000000009,,29.8072,0.0,29.8072
19,1,1,1,1.0,-0.0210627,0.0201665,1.00491,1.00533,0.00490999999999997,0.005330000000000057,,29.3502,0.0,29.3502
20,1,1,1,1.0,-0.0210188,0.0203514,1.01043,1.01085,0.01042999999999994,0.010850000000000026,,28.7107,0.0,28.7107
21,1,1,1,1.0,-0.0211671,0.0201791,1.00896,1.00938,0.008960000000000079,0.009379999999999944,,27.9632,0.0,27.9632
22,1,1,1,1.0,-0.0211412,0.0201799,1.0088,1.00922,0.008799999999999919,0.009220000000000006,,27.7766,0.0,27.7766
23,1,1,1,1.0,-0.0210603,0.0201795,1.00647,1.00689,0.006469999999999976,0.006890000000000063,,28.0605,0.0,28.0605
24,1,1,1,1.0,-0.0210452,0.0201704,1.00409,1.00452,0.004089999999999927,0.0045200000000000795,,28.7798,0.0,28.7798
25,1,1,1,1.0,-0.0211168,0.0202073,1.00591,1.00633,0.005910000000000082,0.006329999999999947,,28.3426,0.0,28.3426
26,1,1,1,1.0,-0.0211997,0.0202348,1.01166,1.01209,0.011660000000000004,0.012089999999999934,,27.8323,0.0,27.8323
27,1,1,1,1.0,-0.021063,0.0202048,1.00735,1.00778,0.007349999999999968,0.007779999999999898,,27.3751,0.0,27.3751
28,1,1,1,1.0,-0.0211382,0.0201629,1.00797,1.00839,0.007970000000000033,0.008389999999999898,,27.4683,0.0,27.4683
29,1,1,1,1.0,-0.0211875,0.0203506,1.01504,1.01547,0.015039999999999942,0.015470000000000095,,27.3439,0.0,27.3439
30,1,1,1,1.0,-0.021224,0.020262,1.01244,1.01286,0.012440000000000007,0.012860000000000094,,27.4156,0.0,27.4156
31,1,1,1,1.0,-0.0211165,0.0202397,1.00713,1.00756,0.007130000000000081,0.007560000000000011,,28.3755,0.0,28.3755
32,1,1,1,1.0,-0.0212041,0.0202385,1.01218,1.01261,0.01218000000000008,0.01261000000000001,,28.3397,0.0,28.3397
33,1,1,1,1.0,-0.0211687,0.0202162,1.00825,1.00868,0.00825000000000009,0.008680000000000021,,29.2846,0.0,29.2846
34,1,1,1,1.0,-0.0211623,0.0201913,1.01041,1.01083,0.01041000000000003,0.010829999999999895,,29.9042,0.0,29.9042
35,1,1,1,1.0,-0.0210705,0.0201693,1.00467,1.00509,0.004669999999999952,0.005090000000000039,,29.5228,0.0,29.5228
36,1,1,1,1.0,-0.021118,0.0202231,1.00843,1.00885,0.008429999999999938,0.008850000000000025,,29.8152,0.0,29.8152
37,1,1,1,1.0,-0.0212265,0.0202354,1.01213,1.01256,0.012129999999999974,0.012559999999999905,,29.606,0.0,29.606
38,1,1,1,1.0,-0.0210626,0.0201772,1.00654,1.00697,0.00653999999999999,0.006969999999999921,,29.6136,0.0,29.6136
39,1,1,1,1.0,-0.0210978,0.0202193,1.00766,1.00808,0.00766,0.008080000000000087,,29.1622,0.0,29.1622
40,1,1,1,1.0,-0.0210639,0.0203496,1.00728,1.00771,0.007279999999999953,0.007710000000000106,,29.1044,0.0,29.1044
41,1,1,1,1.0,-0.0211297,0.0202593,1.00984,1.01026,0.009840000000000071,0.010259999999999936,,28.4391,0.0,28.4391
