frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
0,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,30.0
1,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,80.0
2,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,20.0
3,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,20.0
4,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,50.0
5,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,20.0
6,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,20.0
7,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,20.0
8,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,20.0
9,0,0,,,0.5,0.096,,,,,,,,,,,,,,0,360.0
10,1,1,0,1,0.5,0.096,313.082,264.227,91.3573,91.6676,1.30088,183.025,-0.0031635630058233053,0.024296173349516732,0.4907986436712195,0.49140982977534164,0.009201356328780497,0.008590170224658356,,1,360.0
11,1,1,0,1,0.5,0.096,312.987,264.211,91.3792,91.686,1.24903,183.065,-0.0032126901326895237,0.0242825177473402,0.49069140336997763,0.49130236655977616,0.00930859663002237,0.00869763344022384,,1,280.0
12,1,1,0,1,0.5,0.096,313.335,264.39,91.4112,91.649,1.24904,183.06,-0.003030280340548519,0.024376563908320877,0.4907048058446682,0.49131925053469283,0.00929519415533181,0.00868074946530717,,1,370.0
13,1,1,0,1,0.5,0.096,313.345,264.412,91.3651,91.6495,1.18856,183.015,-0.0030257799586963217,0.024394037706691348,0.4908254610710869,0.49144059422847736,0.009174538928913123,0.008559405771522643,,1,290.0
14,1,1,0,1,0.5,0.096,313.354,264.365,91.3758,91.6267,1.18767,183.003,-0.003021257133166185,0.024371110114299287,0.49085764581960384,0.49147157340219755,0.009142354180396162,0.008528426597802452,,1,320.0
15,1,1,0,1,0.5,0.096,313.106,264.184,91.3366,91.6398,1.32602,182.976,-0.0031518183758570003,0.024280236668316697,0.490930076938642,0.4915402366996265,0.00906992306135801,0.008459763300373513,,1,230.0
16,1,1,0,1,0.5,0.096,313.198,263.944,91.0402,91.5691,1.88929,182.609,-0.0031097871361258854,0.024203518700857327,0.49191672786075685,0.492521622106856,0.008083272139243147,0.007478377893143984,,1,320.0
17,1,1,0,1,0.5,0.096,313.338,264.268,91.3979,91.6418,1.209,183.04,-0.003029038019781511,0.02431557401652033,0.49075842306558654,0.491369771171263,0.009241576934413465,0.008630228828736985,,1,430.0
18,1,1,0,1,0.5,0.096,313.433,264.351,91.3879,91.6568,1.11697,183.045,-0.002979131465709583,0.024358213829131906,0.49074501766191353,0.4913581892725789,0.00925498233808647,0.008641810727421095,,1,280.0
19,1,1,0,1,0.5,0.096,313.425,264.419,91.3883,91.6399,1.17466,183.028,-0.002983604252577796,0.02439595754658821,0.4907905990226903,0.4914056132442955,0.009209400977309712,0.008594386755704508,,1,350.0
20,1,1,0,1,0.5,0.096,313.046,264.251,91.401,91.6491,1.19218,183.05,-0.0031820110305425327,0.02430537640597108,0.4907316129905761,0.49134345676396973,0.009268387009423895,0.008656543236030267,,1,340.0
21,1,1,0,1,0.5,0.096,313.416,264.421,91.3824,91.6476,1.17212,183.03,-0.002988292187842486,0.024396734523421063,0.4907852360701795,0.4914003240638614,0.009214763929820513,0.008599675936138584,,1,390.0
22,1,1,0,1,0.5,0.096,313.06,264.119,91.4148,91.6281,1.18135,183.043,-0.003174790181218674,0.02423743612219877,0.49075037973549906,0.49135879743117344,0.009249620264500935,0.008641202568826556,,1,290.0
23,1,1,0,1,0.5,0.096,313.428,264.398,91.4045,91.6358,1.16025,183.04,-0.002981835222578727,0.024383401425898486,0.49075842306558654,0.4913728435884632,0.009241576934413465,0.008627156411536774,,1,400.0
24,1,1,0,1,0.5,0.096,313.405,264.385,91.3741,91.6335,1.21144,183.008,-0.0029944216599318745,0.02438088107675729,0.4908442349947814,0.4914584997238003,0.009155765005218586,0.00854150027619971,,1,430.0
25,1,1,0,1,0.5,0.096,313.073,264.088,91.34,91.5846,1.52565,182.925,-0.003170015684793286,0.024236886643985742,0.4910669496128192,0.49167491768004024,0.008933050387180785,0.008325082319959765,,1,460.0
26,1,1,0,1,0.5,0.096,313.381,264.308,91.3822,91.6347,1.1339,183.017,-0.003006863401437094,0.024339502383276198,0.4908200973566661,0.4914324170961737,0.009179902643333904,0.00856758290382631,,1,360.0
27,1,1,0,1,0.5,0.096,313.073,264.111,91.369,91.7397,1.34882,183.109,-0.003166830243957489,0.02422452753374433,0.49057349315394083,0.49118144176392375,0.009426506846059168,0.008818558236076246,,1,360.0
28,1,1,0,1,0.5,0.096,313.423,264.34,91.3725,91.6435,1.17241,183.016,-0.0029848489702583914,0.02435633354153188,0.4908227791992228,0.4914357952854173,0.009177220800777208,0.00856420471458269,,1,480.0
29,1,1,0,1,0.5,0.096,313.377,264.379,91.3842,91.6512,1.15831,183.035,-0.0030086656603426063,0.024374154004101808,0.4907718292016552,0.49138593772147166,0.009228170798344815,0.008614062278528345,,1,370.0
30,1,1,0,1,0.5,0.096,313.018,264.173,91.3835,91.6896,1.27546,183.073,-0.003196293932697954,0.0242616337401226,0.4906699609332067,0.49127981205097226,0.009330039066793305,0.008720187949027736,,1,380.0
31,1,1,0,1,0.5,0.096,313.42,264.367,91.383,91.6582,1.19226,183.041,-0.0029860147133200124,0.024367094073087025,0.4907557419262622,0.4913693822279029,0.009244258073737799,0.008630617772097116,,1,340.0
32,1,1,0,1,0.5,0.096,313.405,264.464,91.396,91.6366,1.14032,183.033,-0.002994012659688759,0.02441877072711013,0.4907771918611669,0.4913934192953363,0.009222808138833083,0.008606580704663691,,1,270.0
33,1,1,0,1,0.5,0.096,312.948,264.203,91.3725,91.5983,1.36212,182.971,-0.0032348028875658543,0.024290817143031378,0.4909434924546784,0.4915546973946993,0.009056507545321613,0.008445302605300686,,1,470.0
34,1,1,0,1,0.5,0.096,313.098,264.144,91.3802,91.6381,1.15723,183.018,-0.003155291387408936,0.024253792222217144,0.49081741554341624,0.4914264316269694,0.009182584456583764,0.008573568373030582,,1,300.0
35,1,1,0,1,0.5,0.096,313.183,264.029,91.3714,91.6224,1.19721,182.994,-0.003111113583728486,0.024196956899129093,0.4908817871510812,0.49148764044230914,0.009118212848918783,0.008512359557690863,,1,300.0
36,1,1,0,1,0.5,0.096,313.219,264.054,91.087,91.5761,1.91458,182.663,-0.003097831083146617,0.024253874378551418,0.4917713043031427,0.49237877971720556,0.008228695696857302,0.007621220282794439,,1,430.0
37,1,1,0,1,0.5,0.096,313.393,264.327,91.3744,91.6565,1.15638,183.031,-0.003000339391364373,0.024347554384425277,0.4907825546378753,0.49139528017457085,0.00921744536212471,0.008604719825429152,,1,340.0
38,1,1,0,1,0.5,0.096,313.151,264.096,91.4062,91.6316,1.13824,183.038,-0.003127149111882827,0.024226097844656985,0.4907637854321231,0.491371321883984,0.009236214567876877,0.008628678116015975,,1,240.0
39,1,1,0,1,0.5,0.096,313.167,264.156,91.3872,91.6476,1.15744,183.035,-0.003118808529192845,0.024257800731196714,0.4907718292016552,0.4913808667427893,0.009228170798344815,0.008619133257210698,,1,350.0
40,1,1,0,1,0.5,0.096,313.075,264.223,91.3926,91.7016,1.24431,183.094,-0.003166041045259872,0.024284930818736204,0.49061368345180595,0.49122455971879087,0.009386316548194051,0.008775440281209135,,1,300.0
41,1,1,0,1,0.5,0.096,313.399,264.358,91.4038,91.6406,1.18168,183.044,-0.002996979519354963,0.02436199906743887,0.4907476986840593,0.49136116314631706,0.00925230131594068,0.00863883685368294,,1,350.0
42,1,1,0,1,0.5,0.096,313.468,264.379,91.3882,91.6461,1.18389,183.034,-0.002960953260819346,0.02437428717145872,0.4907745105167617,0.49138833247473074,0.009225489483238314,0.008611667525269262,,1,250.0
43,1,1,0,1,0.5,0.096,313.229,264.149,91.3939,91.6742,1.18875,183.068,-0.0030857338209889836,0.02424977631201389,0.49068336223657305,0.4912919044521135,0.00931663776342695,0.008708095547886485,,1,330.0
44,1,1,0,1,0.5,0.096,313.117,264.184,91.3945,91.6352,1.16663,183.03,-0.003145118937555636,0.02427307318265812,0.4907852360701795,0.4913951788523407,0.009214763929820513,0.008604821147659314,,1,470.0
45,1,1,0,1,0.5,0.096,313.14,264.064,91.3245,91.6266,1.42023,182.951,-0.0031344082248296605,0.024220914154792193,0.49099716185167047,0.4916042006978878,0.009002838148329528,0.008395799302112206,,1,250.0
46,1,1,0,1,0.5,0.096,313.219,264.163,91.3918,91.6349,1.13171,183.027,-0.0030916701860425537,0.0242625135295963,0.49079328054289784,0.4914023526738275,0.009206719457102164,0.00859764732617252,,1,410.0
47,1,1,0,1,0.5,0.096,313.479,264.36,91.3879,91.6615,1.17283,183.049,-0.00295494167758803,0.024362377064529664,0.4907342938662596,0.4913475391949864,0.009265706133740392,0.008652460805013584,,1,440.0
