frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
0,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,30.0
1,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,40.0
2,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,20.0
3,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,20.0
4,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,30.0
5,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,20.0
6,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,20.0
7,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,20.0
8,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,20.0
9,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,20.0
10,0,0,,,1.5,0.096,,,,,,,,,,,,,,0,70.0
11,1,1,0,1,1.5,0.096,320.48,236.207,30.3738,30.52,1.50835,60.8938,0.0021545195218428126,0.029081274614554505,1.475165316631988,1.4754535146461003,0.02483468336801198,0.024546485353899694,,1,90.0
12,1,1,0,1,1.5,0.096,320.466,236.174,30.3424,30.5411,1.66672,60.8835,0.0021328090674680483,0.02903443112459722,1.4754148785455001,1.4757020738952291,0.02458512145449987,0.024297926104770884,,1,140.0
13,1,1,0,1,1.5,0.096,320.469,236.168,30.3875,30.4957,1.40441,60.8833,0.0021375464348875567,0.02902511495631788,1.4754197252436212,1.4757067432389646,0.024580274756378806,0.024293256761035442,,1,70.0
14,1,1,0,1,1.5,0.096,320.443,236.15,30.3623,30.5312,1.51236,60.8935,0.0020961987873777755,0.028992023180745216,1.475172584231896,1.4754589403730891,0.0248274157681041,0.02454105962691089,,1,80.0
15,1,1,0,1,1.5,0.096,320.509,236.193,30.3195,30.5448,1.64109,60.8643,0.002201304884130624,0.029073402737402703,1.4758803068124493,1.4761682792035375,0.024119693187550695,0.023831720796462452,,1,80.0
16,1,1,0,1,1.5,0.096,320.454,236.213,30.3251,30.5272,1.63666,60.8523,0.002114971510677343,0.02911052377770743,1.4761713486248664,1.4764598694851343,0.02382865137513357,0.023540130514865698,,1,80.0
17,1,1,0,1,1.5,0.096,320.486,236.169,30.3739,30.5199,1.6117,60.8938,0.00216397861291608,0.029021678437088725,1.475165316631988,1.4754523550480023,0.02483468336801198,0.024547644951997682,,1,80.0
18,1,1,0,1,1.5,0.096,320.488,236.187,30.3572,30.5386,1.52219,60.8959,0.0021670569095651776,0.029048906416945523,1.4751144454376233,1.4754020341040663,0.024885554562376733,0.02459796589593366,,1,80.0
19,1,1,0,1,1.5,0.096,320.516,236.197,30.3558,30.5509,1.56563,60.9067,0.0022108057218531295,0.029059435336337643,1.4748528775639618,1.4751407895189885,0.025147122436038227,0.024859210481011473,,1,70.0
20,1,1,0,1,1.5,0.096,320.537,236.174,30.3408,30.5547,1.5968,60.8955,0.002244318231383074,0.029028709631654475,1.4751241349184252,1.475411439689294,0.0248758650815748,0.02458856031070611,,1,70.0
21,1,1,0,1,1.5,0.096,320.541,236.191,30.3436,30.5417,1.55862,60.8853,0.0022510011588871177,0.02906023792681139,1.4753712596952788,1.475659147082894,0.024628740304721175,0.02434085291710608,,1,70.0
22,1,1,0,1,1.5,0.096,320.488,236.181,30.3456,30.5482,1.53866,60.8939,0.002167128084408949,0.02904045059228012,1.4751628941145987,1.4754503069867502,0.024837105885401334,0.02454969301324983,,1,80.0
23,1,1,0,1,1.5,0.096,320.45,236.187,30.3489,30.5244,1.54289,60.8733,0.002107933705897151,0.02905969119919033,1.475662100755585,1.475949709388327,0.024337899244414984,0.024050290611673075,,1,70.0
24,1,1,0,1,1.5,0.096,320.499,236.133,30.3328,30.5413,1.66577,60.8741,0.002185180246758349,0.02897459258840516,1.47564270778418,1.4759287594816364,0.024357292215819948,0.024071240518363624,,1,70.0
25,1,1,0,1,1.5,0.096,320.519,236.217,30.3554,30.5614,1.59388,60.9168,0.0022151669302916542,0.02908597185091477,1.4746083470885691,1.4748968364012187,0.025391652911430862,0.025103163598781286,,1,70.0
