frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
0,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,50.0
1,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
2,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,20.0
3,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
4,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
5,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
6,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,20.0
7,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
8,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,20.0
9,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,20.0
10,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,70.0
11,1,1,0,1,2.5,0.096,299.462,224.267,18.5215,18.6699,1.17403,37.1914,-0.05072492885830624,0.01695519584675798,2.4153008963880076,2.4158929854541564,0.0846991036119924,0.08410701454584357,,1,50.0
12,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
13,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
14,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
15,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,70.0
16,1,1,0,1,2.5,0.096,299.38,224.294,18.5492,18.6438,1.11559,37.1929,-0.05093453640723929,0.017023840507463393,2.415203486631184,2.4158004925862713,0.08479651336881622,0.08419950741372872,,1,80.0
17,1,1,0,1,2.5,0.096,299.393,224.288,18.521,18.6355,1.17145,37.1566,-0.050950709137564054,0.01702505050665585,2.4175630105533057,2.418159783203322,0.08243698944669431,0.08184021679667808,,1,50.0
18,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
19,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
20,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,120.0
21,1,1,0,1,2.5,0.096,299.431,224.32,18.4975,18.6591,1.27056,37.1566,-0.05085253007920024,0.01710729785320907,2.4175630105533057,2.4181582970208666,0.08243698944669431,0.0818417029791334,,1,60.0
22,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
23,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
24,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,80.0
25,1,1,0,1,2.5,0.096,299.447,224.285,18.5559,18.6386,1.47385,37.1945,-0.05075941655730847,0.016999999695610755,2.415099591550497,2.4156927692623222,0.08490040844950286,0.08430723073767776,,1,80.0
26,1,1,0,1,2.5,0.096,299.4,224.315,18.5033,18.6523,1.28161,37.1556,-0.0509339943142033,0.017094906782571848,2.417628076465592,2.418224973762661,0.08237192353440781,0.0817750262373389,,1,50.0
27,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
28,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
29,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
30,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
31,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,50.0
32,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,70.0
33,1,1,0,1,2.5,0.096,299.355,224.268,18.5219,18.6495,1.03877,37.1714,-0.051028562796688,0.016966887763375058,2.416600444371882,2.4171986879939857,0.08339955562811818,0.08280131200601426,,1,40.0
34,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
35,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
36,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,60.0
37,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
38,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
39,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,40.0
40,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
41,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,30.0
42,0,0,,,2.5,0.096,,,,,,,,,,,,,,0,90.0
43,1,1,0,1,2.5,0.096,299.358,224.296,18.5396,18.6524,0.847599,37.192,-0.050992555365154055,0.01702938802954512,2.4152619315424,2.4158601860863667,0.08473806845759979,0.08413981391363334,,1,90.0
