frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,1.5,,,,,,,,26.357,0.0,26.357
2,0,0,,1.5,,,,,,,,17.52,0.0,17.52
3,0,0,,1.5,,,,,,,,16.009,0.0,16.009
4,0,0,,1.5,,,,,,,,14.3015,0.0,14.3015
5,0,0,,1.5,,,,,,,,12.8926,0.0,12.8926
6,1,1,1,1.5,0.00921622,0.0224148,1.50212,1.50232,0.0021199999999998997,0.0023200000000000998,,15.0308,0.0,15.0308
7,1,1,1,1.5,0.00955236,0.0206062,1.51236,1.51253,0.012359999999999927,0.01252999999999993,,17.4314,0.0,17.4314
8,1,1,1,1.5,0.00979531,0.0205486,1.51828,1.51845,0.018280000000000074,0.018450000000000077,,17.0064,0.0,17.0064
9,1,1,1,1.5,0.00965464,0.0206378,1.52132,1.52149,0.021320000000000006,0.02149000000000001,,18.3219,0.0,18.3219
10,1,1,1,1.5,0.00961064,0.0205139,1.52088,1.52105,0.02088000000000001,0.021050000000000013,,19.4983,0.0,19.4983
11,1,1,1,1.5,0.00961269,0.020604,1.52017,1.52034,0.02017000000000002,0.020340000000000025,,22.5276,0.0,22.5276
12,1,1,1,1.5,0.00966088,0.020624,1.52755,1.52772,0.027549999999999963,0.027719999999999967,,24.3704,0.0,24.3704
13,1,1,1,1.5,0.00959999,0.0206514,1.52119,1.52136,0.021190000000000042,0.021360000000000046,,23.9124,0.0,23.9124
14,1,1,1,1.5,0.00967662,0.0207361,1.5314,1.53157,0.031400000000000095,0.0315700000000001,,27.2206,0.0,27.2206
15,1,1,1,1.5,0.0095377,0.0206781,1.51582,1.51599,0.015819999999999945,0.01598999999999995,,27.6063,0.0,27.6063
16,1,1,1,1.5,0.00959903,0.0206095,1.52035,1.52052,0.02035000000000009,0.020520000000000094,,27.4567,0.0,27.4567
17,1,1,1,1.5,0.00958408,0.0207013,1.50653,1.5067,0.006529999999999925,0.006699999999999928,,27.7033,0.0,27.7033
18,1,1,1,1.5,0.00958394,0.0205284,1.51668,1.51685,0.016680000000000028,0.01685000000000003,,27.3752,0.0,27.3752
19,1,1,1,1.5,0.00973811,0.0207541,1.53227,1.53244,0.03227000000000002,0.032440000000000024,,28.395,0.0,28.395
20,1,1,1,1.5,0.00960759,0.0206569,1.52224,1.52241,0.022240000000000038,0.02241000000000004,,29.2262,0.0,29.2262
21,1,1,1,1.5,0.00965703,0.0206932,1.52755,1.52772,0.027549999999999963,0.027719999999999967,,29.0246,0.0,29.0246
22,1,1,1,1.5,0.00961695,0.020686,1.52554,1.52571,0.025539999999999896,0.0257099999999999,,28.4821,0.0,28.4821
23,1,1,1,1.5,0.00979819,0.0207022,1.53334,1.53351,0.033339999999999925,0.03350999999999993,,28.3303,0.0,28.3303
24,1,1,1,1.5,0.0096175,0.020597,1.52144,1.52161,0.021439999999999904,0.021609999999999907,,27.6458,0.0,27.6458
