frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,2.0,,,,,,,,15.59,0.0,15.59
2,0,0,,2.0,,,,,,,,11.018,0.0,11.018
3,0,0,,2.0,,,,,,,,9.28867,0.0,9.28867
4,0,0,,2.0,,,,,,,,8.695,0.0,8.695
5,0,0,,2.0,,,,,,,,7.9048,0.0,7.9048
6,0,0,,2.0,,,,,,,,8.32483,0.0,8.32483
7,0,0,,2.0,,,,,,,,10.204,0.0,10.204
8,0,0,,2.0,,,,,,,,10.9991,0.0,10.9991
9,0,0,,2.0,,,,,,,,11.2686,0.0,11.2686
10,0,0,,2.0,,,,,,,,11.3574,0.0,11.3574
11,0,0,,2.0,,,,,,,,10.9112,0.0,10.9112
12,0,0,,2.0,,,,,,,,11.0693,0.0,11.0693
13,0,0,,2.0,,,,,,,,10.8362,0.0,10.8362
14,0,0,,2.0,,,,,,,,12.1566,0.0,12.1566
15,0,0,,2.0,,,,,,,,11.8404,0.0,11.8404
16,0,0,,2.0,,,,,,,,11.596,0.0,11.596
17,0,0,,2.0,,,,,,,,12.4074,0.0,12.4074
18,0,0,,2.0,,,,,,,,12.1108,0.0,12.1108
19,0,0,,2.0,,,,,,,,11.9079,0.0,11.9079
20,0,0,,2.0,,,,,,,,11.5754,0.0,11.5754
21,0,0,,2.0,,,,,,,,11.3132,0.0,11.3132
22,0,0,,2.0,,,,,,,,11.3136,0.0,11.3136
23,0,0,,2.0,,,,,,,,11.0768,0.0,11.0768
24,0,0,,2.0,,,,,,,,11.1565,0.0,11.1565
25,0,0,,2.0,,,,,,,,10.9911,0.0,10.9911
26,0,0,,2.0,,,,,,,,11.195,0.0,11.195
27,0,0,,2.0,,,,,,,,11.0866,0.0,11.0866
28,0,0,,2.0,,,,,,,,10.9424,0.0,10.9424
29,0,0,,2.0,,,,,,,,10.7764,0.0,10.7764
30,0,0,,2.0,,,,,,,,10.9155,0.0,10.9155
31,0,0,,2.0,,,,,,,,10.7039,0.0,10.7039
32,0,0,,2.0,,,,,,,,10.9165,0.0,10.9165
33,0,0,,2.0,,,,,,,,10.9318,0.0,10.9318
