frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
0,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,50.0
1,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,40.0
2,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,40.0
3,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,30.0
4,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,20.0
5,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,30.0
6,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,30.0
7,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,30.0
8,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,30.0
9,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,20.0
10,0,0,,,2.0,0.096,,,,,,,,,,,,,,0,100.0
11,1,1,0,1,2.0,0.096,304.474,219.977,22.9675,23.0566,3.84246,46.0241,-0.03053572191831695,0.004799403212669025,1.9517692199939807,1.9520139734899906,0.048230780006019325,0.04798602651000938,,1,90.0
12,1,1,0,1,2.0,0.096,304.485,219.955,22.9862,23.049,3.23727,46.0353,-0.030505353916251414,0.004752596193949084,1.951294371013656,1.9515385945806243,0.048705628986343896,0.048461405419375714,,1,80.0
13,1,1,0,1,2.0,0.096,304.461,219.953,22.9995,23.0382,3.32685,46.0377,-0.030553809576516825,0.004748199618627658,1.951192647719694,1.9514376313873436,0.04880735228030608,0.04856236861265639,,1,80.0
14,1,1,0,1,2.0,0.096,304.501,220.014,22.9629,23.0718,3.84578,46.0347,-0.030472385377569793,0.004875056210188492,1.9513198034944281,1.951563810884283,0.04868019650557187,0.04843618911571701,,1,80.0
15,1,1,0,1,2.0,0.096,304.465,220.016,22.9433,23.0637,3.70003,46.0069,-0.030565917702362302,0.0048821535922648806,1.952498902510818,1.9527442420999823,0.047501097489182076,0.04725575790001768,,1,70.0
16,1,1,0,1,2.0,0.096,304.457,220.05,22.9527,23.0832,3.69354,46.036,-0.03056327915415784,0.004949600005337627,1.9512647006239672,1.951510323947585,0.048735299376032826,0.04848967605241494,,1,80.0
17,1,1,0,1,2.0,0.096,304.462,220.05,22.9272,23.0934,3.67505,46.0206,-0.030563076516621053,0.004951256303605841,1.9519176576994857,1.9521631998949758,0.048082342300514336,0.047836800105024224,,1,70.0
