frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,0.5,,,,,,,,16.115,0.0,16.115
2,0,0,,0.5,,,,,,,,10.492,0.0,10.492
3,0,0,,0.5,,,,,,,,8.99067,0.0,8.99067
4,0,0,,0.5,,,,,,,,7.9365,0.0,7.9365
5,0,0,,0.5,,,,,,,,8.4508,0.0,8.4508
6,0,0,,0.5,,,,,,,,8.22333,0.0,8.22333
7,0,0,,0.5,,,,,,,,8.44271,0.0,8.44271
8,0,0,,0.5,,,,,,,,8.393,0.0,8.393
9,0,0,,0.5,,,,,,,,12.0109,0.0,12.0109
10,1,1,1,0.5,0.000457893,0.0237787,0.502408,0.502971,0.0024079999999999657,0.002970999999999946,,16.0754,0.0,16.0754
11,1,1,1,0.5,0.000154338,0.0239581,0.502,0.502571,0.0020000000000000018,0.00257099999999999,,16.5399,0.0,16.5399
12,1,1,1,0.5,0.000151047,0.0239563,0.501567,0.502139,0.001566999999999985,0.002139000000000002,,19.2393,0.0,19.2393
13,1,1,1,0.5,0.000167765,0.0239437,0.501186,0.501758,0.0011860000000000204,0.0017580000000000373,,19.4103,0.0,19.4103
14,1,1,1,0.5,0.000149373,0.0239536,0.501379,0.501951,0.001379000000000019,0.001951000000000036,,19.5491,0.0,19.5491
15,1,1,1,0.5,0.000161604,0.0239688,0.501963,0.502534,0.001963000000000048,0.0025340000000000362,,21.2384,0.0,21.2384
16,1,1,1,0.5,0.000155014,0.023948,0.5013,0.501871,0.0012999999999999678,0.001870999999999956,,21.5371,0.0,21.5371
17,1,1,1,0.5,0.000172324,0.023956,0.501462,0.502034,0.0014619999999999633,0.0020339999999999803,,23.305,0.0,23.305
18,1,1,1,0.5,0.000161733,0.0239457,0.501388,0.501959,0.0013879999999999448,0.001959000000000044,,25.9998,0.0,25.9998
19,1,1,1,0.5,0.000168712,0.0239788,0.502163,0.502735,0.002163000000000026,0.002735000000000043,,27.4334,0.0,27.4334
20,1,1,1,0.5,0.000153281,0.023957,0.501671,0.502242,0.001670999999999978,0.0022419999999999662,,27.7781,0.0,27.7781
21,1,1,1,0.5,0.000164042,0.0239595,0.501714,0.502286,0.0017139999999999933,0.0022860000000000102,,28.2985,0.0,28.2985
22,1,1,1,0.5,0.000150308,0.0239673,0.501615,0.502187,0.001615000000000033,0.00218700000000005,,28.1255,0.0,28.1255
23,1,1,1,0.5,0.000156679,0.0239506,0.501828,0.502399,0.0018280000000000518,0.00239900000000004,,29.0481,0.0,29.0481
24,1,1,1,0.5,0.000151907,0.0239667,0.501864,0.502436,0.0018639999999999768,0.0024359999999999937,,29.9018,0.0,29.9018
25,1,1,1,0.5,0.00015928,0.0239681,0.50162,0.502193,0.0016199999999999548,0.0021930000000000005,,29.4188,0.0,29.4188
26,1,1,1,0.5,0.000141133,0.0239722,0.502171,0.502743,0.002171000000000034,0.002743000000000051,,29.2895,0.0,29.2895
27,1,1,1,0.5,0.000162636,0.0239448,0.501412,0.501984,0.0014119999999999688,0.0019839999999999858,,29.0612,0.0,29.0612
28,1,1,1,0.5,0.000154378,0.0239572,0.501816,0.502388,0.0018160000000000398,0.0023879999999999457,,28.9799,0.0,28.9799
29,1,1,1,0.5,0.000161805,0.0239593,0.501662,0.502234,0.0016620000000000523,0.0022339999999999582,,28.9528,0.0,28.9528
30,1,1,1,0.5,0.00016484,0.0239678,0.50194,0.502512,0.0019400000000000528,0.0025119999999999587,,30.2376,0.0,30.2376
31,1,1,1,0.5,0.000171062,0.0239611,0.50207,0.502641,0.0020700000000000163,0.0026410000000000045,,30.4313,0.0,30.4313
32,1,1,1,0.5,0.000163472,0.0239717,0.502138,0.50271,0.0021379999999999733,0.00270999999999999,,31.0626,0.0,31.0626
33,1,1,1,0.5,0.000162673,0.0239546,0.502154,0.502725,0.0021539999999999893,0.0027249999999999774,,31.9194,0.0,31.9194
34,1,1,1,0.5,0.000161464,0.0239496,0.501586,0.502157,0.0015859999999999763,0.0021569999999999645,,33.7964,0.0,33.7964
35,1,1,1,0.5,0.000169677,0.0239452,0.5016,0.502171,0.0016000000000000458,0.002171000000000034,,34.9695,0.0,34.9695
36,1,1,1,0.5,0.000164977,0.0239455,0.501617,0.502188,0.0016169999999999796,0.0021879999999999677,,36.2419,0.0,36.2419
