frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
48,1,1,0,1,1.0,0.096,281.281,239.131,45.427,45.6231,2.02738,91.0502,-0.03988906250772441,0.02251630662990583,0.9865812678931507,0.987644024702045,0.013418732106849296,0.012355975297954958,,1,200.0
49,1,1,0,1,1.0,0.096,281.236,239.167,45.4691,45.5764,1.96061,91.0454,-0.03993861435218925,0.022555255483976248,0.9866332813950508,0.9876988733529495,0.013366718604949201,0.01230112664705052,,1,210.0
50,1,1,0,1,1.0,0.096,281.356,239.187,45.4339,45.6,2.13522,91.0339,-0.03981711339556814,0.022579086224899736,0.9867579193896444,0.9878190163851306,0.013242080610355589,0.012180983614869412,,1,210.0
51,1,1,0,1,1.0,0.096,281.287,239.247,45.4765,45.579,2.04674,91.0555,-0.0398804149023487,0.02263665936745353,0.9865238426885247,0.9875890633421548,0.013476157311475334,0.012410936657845206,,1,130.0
52,1,1,0,1,1.0,0.096,281.364,239.09,45.4485,45.5775,2.1396,91.026,-0.03981213190891407,0.02247927714307639,0.9868435585209167,0.9879020866170057,0.013156441479083347,0.012097913382994263,,1,90.0
53,1,1,0,1,1.0,0.096,281.376,239.169,45.4309,45.5564,1.65718,90.9874,-0.03981636049761629,0.02257173256544995,0.9872622116680437,0.9883225689328153,0.012737788331956268,0.011677431067184663,,1,150.0
54,1,1,0,1,1.0,0.096,281.398,239.162,45.4214,45.5947,1.70481,91.0161,-0.039780600565623096,0.022557270116812182,0.9869508994334515,0.988009820046837,0.01304910056654851,0.011990179953162983,,1,180.0
55,1,1,0,1,1.0,0.096,281.578,239.339,45.4738,45.5843,1.9349,91.0581,-0.03957248305357582,0.022732501867866444,0.9864956742774664,0.9875507396708035,0.013504325722533572,0.012449260329196465,,1,130.0
56,1,1,0,1,1.0,0.096,281.276,239.18,45.4431,45.5966,1.8293,91.0397,-0.039898935509901826,0.022570304719172724,0.9866950545522993,0.987759320071395,0.013304945447700667,0.012240679928605003,,1,140.0
57,1,1,0,1,1.0,0.096,281.406,239.239,45.3942,45.6233,1.5839,91.0175,-0.03977155073629587,0.02263771614353205,0.9869357184928718,0.9879961310031562,0.01306428150712824,0.012003868996843803,,1,130.0
