test_name,marker_type,real_distance_m,marker_size_m,expected_id,total_frames,detected_frames,detection_rate_percent,pose_success_frames,pose_success_rate_percent,correct_id_frames,wrong_id_frames,mean_estimated_z_m,mean_estimated_distance_m,mean_z_error_cm,mean_distance_error_cm,z_jitter_cm,distance_jitter_cm,mean_reprojection_error_px,avg_detection_time_ms,avg_pose_time_ms,avg_total_time_ms,fps,source_file,apriltag_family,data_density
apriltag_dist_0.5m_angle_0deg,apriltag_16h5,0.5,0.097,0,500,494,98.8,494,98.8,494,0,0.4980383413190544,0.4984112496964541,0.1961658680945526,0.1588750303545902,0.0465926089206456,0.04634041680204,0.3486010013562947,3.6825457839822775,0.3894349129621016,4.814614859997164,207.7009333204669,apriltag_dist_0.5m_angle_0deg_20260620_181226_summary.csv,AprilTag 16h5,Lower data density
apriltag_dist_1.0m_angle_0deg,apriltag_16h5,1.0,0.097,0,500,490,98.0,490,98.0,490,0,1.001045327157355,1.0013215995285576,0.2026952291397932,0.2032867917434052,0.2074820822338619,0.2072832922572036,0.2270919794634897,3.5742391260137083,0.4608565224455616,4.752268068001285,210.42583997593832,apriltag_dist_1.0m_angle_0deg_20260620_181501_summary.csv,AprilTag 16h5,Lower data density
apriltag_dist_1.5m_angle_0deg,apriltag_16h5,1.5,0.097,0,500,491,98.2,491,98.2,491,0,1.5113626626529029,1.511542649386186,1.1962469456822462,1.2097715561853135,0.534114773474491,0.5344329509064101,0.0802439315255936,3.914789995998945,0.3804465702600942,4.956580749993009,201.7519839662474,apriltag_dist_1.5m_angle_0deg_20260620_181711_summary.csv,AprilTag 16h5,Lower data density
apriltag_dist_2.0m_angle_0deg,apriltag_16h5,2.0,0.097,0,500,489,97.8,489,97.8,489,0,2.011447384523616,2.0125204724638976,1.604038853530082,1.663337528182632,1.1705319876560485,1.171894761834374,0.0586517520233653,4.495776679988921,0.3253784253615544,5.499307424008293,181.8410797756652,apriltag_dist_2.0m_angle_0deg_20260620_182125_summary.csv,AprilTag 16h5,Lower data density
apriltag_dist_2.5m_angle_0deg,apriltag_16h5,2.5,0.097,0,500,490,98.0,490,98.0,490,0,2.5154588805666327,2.517441780419438,2.121769546024606,2.236763586676695,1.9442949013750277,1.947084284240532,0.3233276133026395,4.67790508600865,0.4416192795825012,5.795960124005433,172.5339682476847,apriltag_dist_2.5m_angle_0deg_20260620_182425_summary.csv,AprilTag 16h5,Lower data density
apriltag_dist_0.5m_angle_0deg,apriltag_36h11,0.5,0.097,0,500,479,95.8,479,95.8,479,0,0.4921071299409569,0.4931461015565872,0.7892870059043174,0.6853898443412684,0.0288322484623788,0.02855998295351,0.3529071223014083,8.231010175997653,8.54495359914735,17.304744713976106,57.78761932225178,apriltag_dist_0.5m_angle_0deg_20260618_194136_summary.csv,AprilTag 36h11,Higher data density
apriltag_dist_1.0m_angle_0deg,apriltag_36h11,1.0,0.097,0,500,480,96.0,480,96.0,480,0,0.9947283957176236,0.9958674432697328,0.5313665381622736,0.4277294381397487,0.1243617398236033,0.1251116806633902,0.371478362660855,13.93603553000321,14.690054691688678,29.09289073001673,34.37265857422154,apriltag_dist_1.0m_angle_0deg_20260618_193755_summary.csv,AprilTag 36h11,Higher data density
apriltag_dist_1.5m_angle_0deg,apriltag_36h11,1.5,0.097,0,500,481,96.2,481,96.2,481,0,1.5047701190954466,1.5068094356887771,0.5067584604924835,0.680943568877752,0.1975913644900053,0.1980907213950831,0.1943869335332928,13.015493154020078,13.91010032431814,27.47613149400604,36.39522544205874,apriltag_dist_1.5m_angle_0deg_20260618_194355_summary.csv,AprilTag 36h11,Higher data density
apriltag_dist_2.0m_angle_0deg,apriltag_36h11,2.0,0.097,0,500,479,95.8,479,95.8,479,0,2.0180771840993965,2.020588206411819,1.8077184099396064,2.058820641181791,4.440892098500626e-14,8.881784197001252e-14,0.0314661376178264,8.918105141989145,7.809986068888504,17.293696552007532,57.82453722329917,apriltag_dist_2.0m_angle_0deg_20260618_194757_summary.csv,AprilTag 36h11,Higher data density
apriltag_dist_2.5m_angle_0deg,apriltag_36h11,2.5,0.097,0,500,482,96.4,482,96.4,482,0,2.518152560378229,2.5239650422322124,2.0926620171304937,2.532672659350224,1.1655673991752369,1.1673696987170077,0.1595106935901451,10.530231043985625,13.225212560173455,24.188713896031917,41.34159444351637,apriltag_dist_2.5m_angle_0deg_20260618_195107_summary.csv,AprilTag 36h11,Higher data density
