frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,1.0,,,,,,,,8.616316999905393,0.0,8.62940999923012
2,0,0,,1.0,,,,,,,,1.6723970002203714,0.0,1.6815990002214676
3,0,0,,1.0,,,,,,,,4.147026999817172,0.0,4.1551020003680605
4,0,0,,1.0,,,,,,,,1.5601129998685792,0.0,1.5672210001866915
5,0,0,,1.0,,,,,,,,1.1162020000483608,0.0,1.1235079991820385
6,0,0,,1.0,,,,,,,,3.4127300004911376,0.0,3.4252990008099005
7,0,0,,1.0,,,,,,,,1.2955320007677074,0.0,1.3046470003246213
8,0,0,,1.0,,,,,,,,1.1766689995056367,0.0,1.1835830000563874
9,0,0,,1.0,,,,,,,,2.048305999778677,0.0,2.058331999251095
10,0,0,,1.0,,,,,,,,1.277647000279103,0.0,1.2855680006396142
11,0,0,,1.0,,,,,,,,1.8064070000036736,0.0,1.8195299999206327
12,0,0,,1.0,,,,,,,,1.306269999986398,0.0,1.3141159997758223
13,0,0,,1.0,,,,,,,,1.1331690002407413,0.0,1.1405220002416172
14,0,0,,1.0,,,,,,,,1.9094939998467453,0.0,1.92054899980576
15,0,0,,1.0,,,,,,,,1.8998369996552356,0.0,1.9085599997197278
16,0,0,,1.0,,,,,,,,4.923732999486674,0.0,4.936694000207353
17,0,0,,1.0,,,,,,,,2.147363999938534,0.0,2.156065000235685
18,0,0,,1.0,,,,,,,,1.8068499994114973,0.0,1.8141470000045956
19,0,0,,1.0,,,,,,,,2.6788889999806997,0.0,2.6894499997069943
20,0,0,,1.0,,,,,,,,2.4822579998726724,0.0,2.491114000804373
21,1,1,0,1.0,-0.03963100041619933,-0.02606287913485816,0.9942964679245597,0.9954272228495874,0.005703532075440276,0.004572777150412599,0.2604076862335205,10.7438999993974,8.431911000116088,20.312904000093113
22,1,1,0,1.0,-0.039620451569774055,-0.02640175985995734,0.9945043448540227,0.9956433724179681,0.005495655145977274,0.0043566275820319245,0.39498409628868103,18.045398000140267,15.165583999987575,34.03504500056442
23,1,1,0,1.0,-0.03963100041619933,-0.02606287913485816,0.9942964679245597,0.9954272228495874,0.005703532075440276,0.004572777150412599,0.2604076862335205,13.983550999910221,8.54669699947408,23.421298000357638
24,1,1,0,1.0,-0.0394691744704774,-0.02615898679199423,0.9933597249202816,0.9944876326114177,0.006640275079718427,0.0055123673885822955,0.22833505272865295,8.34553699951357,11.002360000020417,20.15244700032781
