frame,detected,pose_success,marker_id,real_distance_m,tvec_x_m,tvec_y_m,tvec_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,detection_time_ms,pose_time_ms,total_time_ms
1,0,0,,1.0,,,,,,,,18.641978000232484,0.0,18.655317000138893
2,0,0,,1.0,,,,,,,,3.9335120000032475,0.0,3.946630999962508
3,0,0,,1.0,,,,,,,,3.2567810003456543,0.0,3.265942999860272
4,0,0,,1.0,,,,,,,,53.5858250000274,0.0,53.59439799985921
5,0,0,,1.0,,,,,,,,1.8387670002084633,0.0,1.8552349997662532
6,0,0,,1.0,,,,,,,,2.3359589999927266,0.0,2.3449669997717137
7,0,0,,1.0,,,,,,,,3.8303010001072835,0.0,3.8431689999924856
8,0,0,,1.0,,,,,,,,9.259470999950281,0.0,9.27109600024778
9,0,0,,1.0,,,,,,,,12.696767000306863,0.0,12.708422999821778
10,0,0,,1.0,,,,,,,,1.964794000286929,0.0,1.9743289999496483
11,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,2.1964030001981882,0.49740299982659053,3.5535720003281313
12,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.3601210002416337,0.3265800000917807,4.231981999964773
13,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,2.608264999707899,0.4272279998076556,3.628474000379356
14,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,7.469942000170704,0.40212099975178717,8.448214000054577
15,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.5853439999300463,0.6038129999978992,6.459637999796541
16,1,1,0,1.0,-0.02303807999450612,-0.005280759269003829,1.0000989747864852,1.000378227930451,9.897478648523972e-05,0.00037822793045094727,0.33312731981277466,2.3920349999571044,0.47061899977052235,3.8270800000645977
17,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.662852000161365,0.3304500000922417,4.558018999887281
18,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.062099000089802,0.3569709997464088,3.9997760000005655
19,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,4.552726999918377,0.3725609999492008,5.607397999938257
20,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.731181999683031,0.25904699987222557,4.407127999911609
21,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,2.8302529999564285,0.24853800005075755,3.517815000122937
22,1,1,0,1.0,-0.023125517003846456,-0.005470243171940823,0.9986345253690574,0.9989172279804457,0.0013654746309426091,0.0010827720195543122,0.31954705715179443,3.5188609999750042,0.5941579997852386,5.230020999988483
23,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,2.4019540001063433,0.24762800012467778,3.086271000029228
24,1,1,0,1.0,-0.023125517003846456,-0.005470243171940823,0.9986345253690574,0.9989172279804457,0.0013654746309426091,0.0010827720195543122,0.31954705715179443,4.612296000232163,0.40222200004791375,5.585281000094255
25,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.4697740002229693,0.33827000015662634,4.321639999943727
26,1,1,0,1.0,-0.02303807999450612,-0.005280759269003829,1.0000989747864852,1.000378227930451,9.897478648523972e-05,0.00037822793045094727,0.33312731981277466,2.302544000031048,0.29521900023610215,3.023006000148598
27,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.419817999656516,0.24129699977493146,4.104201999780344
28,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,2.4543879999328055,0.3763460003938235,3.479971000160731
29,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.4365910000815347,0.32986799988066196,4.334476000167342
30,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,5.176676000246516,0.4148340003666817,6.522852999751194
31,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,4.209088999687083,0.3442060001361824,5.089883999971789
32,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.3109519999925396,0.3525379997881828,4.267775999778678
33,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.7067850003040803,0.36428799967325176,5.036654999912571
34,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,3.340788000059547,0.3593800001908676,4.3462300000101095
35,1,1,0,1.0,-0.02289905420314532,-0.005460587007254051,0.9990700140511389,0.9993473258432252,0.0009299859488610673,0.0006526741567748351,0.2841838300228119,5.210626999996748,0.6522019998556061,6.784107999919797
36,1,1,0,1.0,-0.023125517003846456,-0.005470243171940823,0.9986345253690574,0.9989172279804457,0.0013654746309426091,0.0010827720195543122,0.31954705715179443,5.794281999897066,0.5435159996522998,7.049479999750474
37,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,5.070560000149271,0.4339970000728499,6.049001999599568
38,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,2.4010610000004817,0.26745300010588835,3.1413730002896045
39,1,1,0,1.0,-0.02289905420314532,-0.005460587007254051,0.9990700140511389,0.9993473258432252,0.0009299859488610673,0.0006526741567748351,0.2841838300228119,4.221066999889445,0.6857460002720472,5.898159000025771
40,1,1,0,1.0,-0.022762093454086915,-0.005445228935103858,1.0028533371040365,1.0031264023827058,0.0028533371040364575,0.003126402382705784,0.1680561751127243,4.812529999981052,0.3254799999012903,5.754587999945215
